scenario_id,type,label,n_drones,n_nodes,n_edges_seq,n_edges_prox,n_edges_cov,n_edges_total,mean_node_anomaly,max_node_anomaly,pattern_pred,centroid_score,isoforest_score,knn_score,ensemble_score,interpretation,hdbscan_cluster,type_weight_seq,type_weight_prox,type_weight_cov
CONF_694,collision_risk,collision_risk,3,28,50,96,0,146,0.4588184058666229,0.458881139755249,collision_risk,0.24102785386342457,0.34973271537736883,0.05765961939684264,0.22949932812902768,normal,0,0.33333334,0.33333334,0.33333334
OVLP_052,coverage_overlap,coverage_overlap,5,28,46,612,124,782,0.4587857723236084,0.4589603841304779,collision_risk,0.26673650589818343,0.16888187145012468,0.04666329794052209,0.16157268973166153,normal,2,0.33333334,0.33333334,0.33333334
COOP_319,cooperative_search,normal,3,43,80,0,0,80,0.4587819278240204,0.4588039517402649,collision_risk,0.038533146584032354,0.028828260651733384,0.022847735011612073,0.029945568739386683,normal,1,0.33333334,0.33333334,0.33333334
CONF_333,collision_risk,collision_risk,3,43,80,96,6,182,0.45869365334510803,0.4588087499141693,collision_risk,0.29691565640610673,0.2883538118464173,0.07029892029898269,0.22550589775009375,normal,2,0.33333334,0.33333334,0.33333334
COOP_151,cooperative_search,normal,4,215,422,0,0,422,0.45877665281295776,0.45880940556526184,collision_risk,0.08048737659802617,0.15836494219119668,0.03540374653888479,0.09811331381755196,normal,1,0.33333334,0.33333334,0.33333334
COOP_072,cooperative_search,normal,5,49,88,0,0,88,0.4587770104408264,0.4587981104850769,collision_risk,0.08701422104100422,0.13574568758738637,0.025792292373317444,0.08814022905925105,normal,1,0.33333334,0.33333334,0.33333334
CONF_306,collision_risk,collision_risk,3,113,220,60,0,280,0.4588148295879364,0.4589245319366455,collision_risk,0.2583351875581287,0.3188044494690174,0.006665434786727077,0.2070219664910637,normal,0,0.33333334,0.33333334,0.33333334
OVLP_455,coverage_overlap,coverage_overlap,5,29,48,470,106,624,0.4587603509426117,0.45883145928382874,collision_risk,0.2404775881931553,0.25118581504751447,0.047713943148344436,0.18693178542145572,normal,2,0.33333334,0.33333334,0.33333334
COOP_506,cooperative_search,normal,3,50,94,0,0,94,0.45878615975379944,0.45881348848342896,collision_risk,0.09415204575223858,0.2256423456450556,0.030881154515603512,0.12776689833837485,normal,1,0.33333334,0.33333334,0.33333334
CONF_514,collision_risk,collision_risk,4,357,706,180,12,898,0.45862773060798645,0.45885422825813293,collision_risk,0.3394528693385144,0.30820541173053384,0.062468966063395526,0.24385871531278652,normal,2,0.33333334,0.33333334,0.33333334
RLAY_487,relay_move,normal,4,127,246,0,0,246,0.4587785005569458,0.4588046073913574,collision_risk,0.055798353425235106,0.07204829840481819,0.003208781296915699,0.04652145977857251,normal,1,0.33333334,0.33333334,0.33333334
COOP_112,cooperative_search,normal,5,50,90,0,0,90,0.45878681540489197,0.4588090777397156,collision_risk,0.03380652066580425,0.049191995558118706,0.047834656526702206,0.044169151380999416,normal,1,0.33333334,0.33333334,0.33333334
RLAY_181,relay_move,normal,4,226,444,4124,40,4608,0.4585520029067993,0.45882993936538696,collision_risk,0.3381080304261652,0.512003680074747,0.01841242065636133,0.31175760735465674,caution,2,0.33333334,0.33333334,0.33333334
OVLP_325,coverage_overlap,coverage_overlap,4,108,208,3902,426,4536,0.4587453305721283,0.4588924050331116,collision_risk,0.22663272761229647,0.2811025172333328,0.08331451250659935,0.2054251789290019,normal,2,0.33333334,0.33333334,0.33333334
CONF_368,collision_risk,collision_risk,4,184,360,96,0,456,0.45882055163383484,0.4589770436286926,collision_risk,0.24047873546054638,0.2908916246733366,0.009130864677116738,0.1912395299106336,normal,0,0.33333334,0.33333334,0.33333334
RLAY_349,relay_move,normal,3,29,52,0,0,52,0.458791047334671,0.4588170349597931,collision_risk,0.07172445769104421,0.15206663300144996,0.06314651371612585,0.101287944622731,normal,1,0.33333334,0.33333334,0.33333334
COOP_037,cooperative_search,normal,3,78,150,0,0,150,0.4587884545326233,0.4588068425655365,collision_risk,0.2114180901489556,0.34900339626108967,0.010424666589779615,0.20615418552605644,normal,1,0.33333334,0.33333334,0.33333334
RLAY_136,relay_move,normal,4,80,152,0,0,152,0.45879149436950684,0.45880526304244995,collision_risk,0.10489912335713605,0.1246802443501921,0.011723122160269158,0.0848587713952984,normal,1,0.33333334,0.33333334,0.33333334
COOP_704,cooperative_search,normal,3,49,92,0,0,92,0.4587767422199249,0.45880383253097534,collision_risk,0.059884758852357334,0.048836438453270015,0.014994121057728588,0.041998239354333784,normal,1,0.33333334,0.33333334,0.33333334
OVLP_082,coverage_overlap,coverage_overlap,4,48,88,1554,184,1826,0.45877543091773987,0.45891764760017395,collision_risk,0.1830229404341966,0.22660369114125423,0.01953020602724855,0.15140742039493524,normal,2,0.33333334,0.33333334,0.33333334
OVLP_177,coverage_overlap,coverage_overlap,3,38,70,508,10,588,0.4587209224700928,0.45886579155921936,collision_risk,0.3602842260362215,0.4892274317121277,0.06951508567207088,0.3246307661973388,caution,2,0.33333334,0.33333334,0.33333334
OVLP_667,coverage_overlap,coverage_overlap,3,36,66,502,12,580,0.4588225781917572,0.45893552899360657,collision_risk,0.2927156513797673,0.2718217945509791,0.039256570158340026,0.20832038428182384,normal,2,0.33333334,0.33333334,0.33333334
CONF_081,collision_risk,collision_risk,3,126,246,414,0,660,0.4589703381061554,0.4591561257839203,collision_risk,0.47584416305738064,0.5464128632481999,0.07605834798441845,0.3841358986118197,caution,0,0.33333334,0.33333334,0.33333334
RLAY_137,relay_move,normal,4,25,42,0,0,42,0.4587654769420624,0.45879024267196655,collision_risk,0.038067688126963234,0.08519776112932176,0.037049847031828106,0.0566143649993661,normal,1,0.33333334,0.33333334,0.33333334
COOP_109,cooperative_search,normal,4,26,44,0,0,44,0.4587782025337219,0.4588027000427246,collision_risk,0.06062686977066686,0.08394365974862517,0.029983588619914577,0.060760601416624496,normal,1,0.33333334,0.33333334,0.33333334
COOP_018,cooperative_search,normal,4,25,42,0,0,42,0.45878830552101135,0.45881327986717224,collision_risk,0.06572890875138611,0.11479208803267626,0.05181803183362679,0.08118091738857439,normal,1,0.33333334,0.33333334,0.33333334
OVLP_370,coverage_overlap,coverage_overlap,5,24,38,460,84,582,0.4587648808956146,0.4587928056716919,collision_risk,0.28965075673568424,0.34559549180287485,0.020785122730706408,0.23136896056106718,normal,2,0.33333334,0.33333334,0.33333334
CONF_465,collision_risk,collision_risk,4,90,172,110,0,282,0.4589049518108368,0.45899543166160583,collision_risk,0.08386078553282536,0.2536371112761009,0.09179994376217775,0.1541530632989413,normal,0,0.33333334,0.33333334,0.33333334
OVLP_164,coverage_overlap,coverage_overlap,3,37,68,554,14,636,0.4587939381599426,0.45899152755737305,collision_risk,0.292535932949326,0.2816764953001155,0.06276802573355544,0.21926178572491065,normal,2,0.33333334,0.33333334,0.33333334
RLAY_091,relay_move,normal,4,79,150,0,0,150,0.45879581570625305,0.45881012082099915,collision_risk,0.11740327116275406,0.16675686824315616,0.011608791089590531,0.10540636597296585,normal,1,0.33333334,0.33333334,0.33333334
COOP_198,cooperative_search,normal,4,38,68,0,0,68,0.4587813913822174,0.45880088210105896,collision_risk,0.067453231512715,0.0790954317092496,0.038698941341188856,0.06348382453987099,normal,1,0.33333334,0.33333334,0.33333334
OVLP_729,coverage_overlap,coverage_overlap,5,56,102,1336,44,1482,0.4587254524230957,0.45885390043258667,collision_risk,0.49113244703623105,0.6250972269734457,0.05089986235313964,0.4126485836061895,caution,2,0.33333334,0.33333334,0.33333334
RLAY_298,relay_move,normal,3,47,88,0,0,88,0.45878341794013977,0.458802729845047,collision_risk,0.052511965728425945,0.0673644267495801,0.00909610018487136,0.04542819047382123,normal,1,0.33333334,0.33333334,0.33333334
CONF_600,collision_risk,collision_risk,4,24,40,100,0,140,0.45889759063720703,0.45897620916366577,collision_risk,0.18564348030295738,0.276053884540143,0.0649220363994513,0.18559120882677982,normal,0,0.33333334,0.33333334,0.33333334
CONF_576,collision_risk,collision_risk,4,58,108,336,36,480,0.45876792073249817,0.4588802456855774,collision_risk,0.2537840985826138,0.24893589491177248,0.06024802165976454,0.19378399403742247,normal,2,0.33333334,0.33333334,0.33333334
RLAY_709,relay_move,normal,4,58,108,0,0,108,0.4587794244289398,0.4588058590888977,collision_risk,0.05189441383204339,0.05874366154796207,0.008524112473714634,0.04162302251091224,normal,1,0.33333334,0.33333334,0.33333334
RLAY_711,relay_move,normal,3,126,246,0,0,246,0.4587734043598175,0.4588012397289276,collision_risk,0.0762710884257323,0.15470097089631252,0.0006220407416697671,0.08494832710874564,normal,1,0.33333334,0.33333334,0.33333334
RLAY_503,relay_move,normal,3,36,66,0,0,66,0.45877110958099365,0.4587899446487427,collision_risk,0.06326967065231467,0.14629888754579234,0.01365073097725474,0.08159567550718777,normal,1,0.33333334,0.33333334,0.33333334
